OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980870566,0,0
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980878746,8105,-1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980878778,8140,-2
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980878818,8182,-3
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980879248,8616,-4
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980879278,8637,-5
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980879314,8677,-6
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980880471,9835,-7
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980880513,9879,-8
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980882121,11489,-9
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980882174,11536,-10
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980883083,12444,-9
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980883119,12483,-8
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980883209,12570,-7
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980883295,12663,-6
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980883355,12717,-5
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980884144,13506,-4
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980884198,13566,-3
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980884986,14352,-2
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980885028,14397,-1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980885070,14432,0
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887072,16437,1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887532,16904,0
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887567,16930,-1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887592,16958,-2
